R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Pedro Munhoz;Jimmie Rivera;Pedro Munhoz;Decision - Unanimous;1.0
Alex Caceres;Kevin Croom;Alex Caceres;Decision - Unanimous;1.0
Alexis Davis;Sabina Mazo;Alexis Davis;Decision - Unanimous;1.0
Nikita Krylov;Magomed Ankalaev;Magomed Ankalaev;Decision - Unanimous;1.0
Dustin Jacoby;Maxim Grishin;Dustin Jacoby;Decision - Unanimous;1.0
Aleksei Oleinik;Chris Daukaus;Chris Daukaus;KO/TKO;0.5
Charles Rosa;Darrick Minner;Darrick Minner;Decision - Unanimous;1.0
Phil Hawes;Nassourdine Imavov;Phil Hawes;Decision - Majority;1.0
Curtis Blaydes;Derrick Lewis;Derrick Lewis;KO/TKO;0.5
Eddie Wineland;John Castaneda;John Castaneda;KO/TKO;0.5
Andrei Arlovski;Tom Aspinall;Tom Aspinall;Submission;0.5
Jared Gordon;Danny Chavez;Jared Gordon;Decision - Unanimous;1.0
Ketlen Vieira;Yana Kunitskaya;Yana Kunitskaya;Decision - Unanimous;1.0
Aiemann Zahabi;Drako Rodriguez;Aiemann Zahabi;KO/TKO;0.5
Serghei Spivac;Jared Vanderaa;Serghei Spivac;KO/TKO;0.5
Nate Landwehr;Julian Erosa;Julian Erosa;KO/TKO;0.5
Shana Dobson;Casey O'Neill;Casey O'Neill;KO/TKO;0.5
Maycee Barber;Alexa Grasso;Alexa Grasso;Decision - Unanimous;1.0
Belal Muhammad;Dhiego Lima;Belal Muhammad;Decision - Unanimous;1.0
Maki Pitolo;Julian Marquez;Julian Marquez;Submission;0.5
Kamaru Usman;Gilbert Burns;Kamaru Usman;KO/TKO;0.5
Ricky Simon;Brian Kelleher;Ricky Simon;Decision - Unanimous;1.0
Kelvin Gastelum;Ian Heinisch;Kelvin Gastelum;Decision - Unanimous;1.0
Polyana Viana;Mallory Martin;Polyana Viana;Submission;0.5
Rodolfo Vieira;Anthony Hernandez;Anthony Hernandez;Submission;0.5
Gabe Green;Philip Rowe;Gabe Green;Decision - Unanimous;1.0
Andre Ewell;Chris Gutierrez;Chris Gutierrez;Decision - Unanimous;1.0
Alexandre Pantoja;Manel Kape;Alexandre Pantoja;Decision - Unanimous;1.0
Karol Rosa;Joselyne Edwards;Karol Rosa;Decision - Unanimous;1.0
Devonte Smith;Justin Jaynes;Devonte Smith;TKO - Doctor's Stoppage;0.5
Michael Johnson;Clay Guida;Clay Guida;Decision - Unanimous;1.0
Alistair Overeem;Alexander Volkov;Alexander Volkov;KO/TKO;0.5
Diego Ferreira;Beneil Dariush;Beneil Dariush;Decision - Split;1.0
Cory Sandhagen;Frankie Edgar;Cory Sandhagen;KO/TKO;0.5
Mike Rodriguez;Danilo Marques;Danilo Marques;Submission;0.5
Ode Osbourne;Jerome Rivera;Ode Osbourne;KO/TKO;0.5
SeungWoo Choi;Youssef Zalal;SeungWoo Choi;Decision - Unanimous;1.0
Molly McCann;Lara Procopio;Lara Procopio;Decision - Unanimous;1.0
Timur Valiev;Martin Day;Timur Valiev;Decision - Unanimous;1.0
Dan Hooker;Michael Chandler;Michael Chandler;KO/TKO;0.5
Andrew Sanchez;Makhmud Muradov;Makhmud Muradov;KO/TKO;0.5
Julianna Pena;Sara McMann;Julianna Pena;Submission;0.5
Jessica Eye;Joanne Calderwood;Joanne Calderwood;Decision - Unanimous;1.0
Dustin Poirier;Conor McGregor;Dustin Poirier;KO/TKO;0.5
Brad Tavares;Antonio Carlos Junior;Brad Tavares;Decision - Unanimous;1.0
Arman Tsarukyan;Matt Frevola;Arman Tsarukyan;Decision - Unanimous;1.0
Marina Rodriguez;Amanda Ribas;Marina Rodriguez;KO/TKO;0.5
Amir Albazi;Zhalgas Zhumagulov;Amir Albazi;Decision - Unanimous;1.0
Khalil Rountree Jr.;Marcin Prachnio;Marcin Prachnio;Decision - Unanimous;1.0
Nik Lentz;Movsar Evloev;Movsar Evloev;Decision - Split;1.0
Ricky Simon;Gaetano Pirrello;Ricky Simon;Submission;0.5
Omari Akhmedov;Tom Breese;Omari Akhmedov;Submission;0.5
Warlley Alves;Mounir Lazzez;Warlley Alves;KO/TKO;0.5
Matt Schnell;Tyson Nam;Matt Schnell;Decision - Split;1.0
Roxanne Modafferi;Viviane Araujo;Viviane Araujo;Decision - Unanimous;1.0
Ike Villanueva;Vinicius Moreira;Ike Villanueva;KO/TKO;0.5
Michael Chiesa;Neil Magny;Michael Chiesa;Decision - Unanimous;1.0
