R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Dustin Poirier;Pablo Garza;Dustin Poirier;Submission;0.5
Norifumi Yamamoto;Darren Uyenoyama;Darren Uyenoyama;Decision - Unanimous;1.0
Alex Caceres;Cole Escovedo;Alex Caceres;Decision - Unanimous;1.0
Cub Swanson;Ricardo Lamas;Ricardo Lamas;Submission;0.5
Clay Guida;Benson Henderson;Benson Henderson;Decision - Unanimous;1.0
DaMarques Johnson;Clay Harvison;DaMarques Johnson;KO/TKO;0.5
Cain Velasquez;Junior Dos Santos;Junior Dos Santos;KO/TKO;0.5
Aaron Rosa;Matt Lucas;Aaron Rosa;Decision - Majority;1.0
Mike Pierce;Paul Bradley;Mike Pierce;Decision - Split;1.0
Thiago Alves;Papy Abedi;Thiago Alves;Submission;0.5
Terry Etim;Edward Faaloloto;Terry Etim;Submission;0.5
Cyrille Diabate;Anthony Perosh;Anthony Perosh;Submission;0.5
Chris Leben;Mark Munoz;Mark Munoz;KO/TKO;0.5
Brad Pickett;Renan Barao;Renan Barao;Submission;0.5
Michihiro Omigawa;Jason Young;Michihiro Omigawa;Decision - Unanimous;1.0
John Maguire;Justin Edwards;John Maguire;Decision - Unanimous;1.0
Rob Broughton;Philip De Fries;Philip De Fries;Decision - Unanimous;1.0
Chris Cope;Che Mills;Che Mills;KO/TKO;0.5
Chris Cariaso;Vaughan Lee;Chris Cariaso;Decision - Split;1.0
Dennis Siver;Donald Cerrone;Donald Cerrone;Submission;0.5
Hatsu Hioki;George Roop;Hatsu Hioki;Decision - Split;1.0
Tyson Griffin;Bart Palaszewski;Bart Palaszewski;KO/TKO;0.5
Scott Jorgensen;Jeff Curran;Scott Jorgensen;Decision - Unanimous;1.0
BJ Penn;Nick Diaz;Nick Diaz;Decision - Unanimous;1.0
Cheick Kongo;Matt Mitrione;Cheick Kongo;Decision - Unanimous;1.0
Brandon Vera;Eliot Marshall;Brandon Vera;Decision - Unanimous;1.0
Mirko Filipovic;Roy Nelson;Roy Nelson;KO/TKO;0.5
Dustin Jacoby;Clifford Starks;Clifford Starks;Decision - Unanimous;1.0
Ramsey Nijem;Danny Downes;Ramsey Nijem;Decision - Unanimous;1.0
Chris Camozzi;Francis Carmont;Francis Carmont;Decision - Unanimous;1.0
Joey Beltran;Stipe Miocic;Stipe Miocic;Decision - Unanimous;1.0
Melvin Guillard;Joe Lauzon;Joe Lauzon;Submission;0.5
Demian Maia;Jorge Santiago;Demian Maia;Decision - Unanimous;1.0
Chael Sonnen;Brian Stann;Chael Sonnen;Submission;0.5
Frankie Edgar;Gray Maynard;Frankie Edgar;KO/TKO;0.5
Leonard Garcia;Nam Phan;Nam Phan;Decision - Unanimous;1.0
Jose Aldo;Kenny Florian;Jose Aldo;Decision - Unanimous;1.0
Anthony Pettis;Jeremy Stephens;Anthony Pettis;Decision - Split;1.0
Steve Cantwell;Mike Massenzio;Mike Massenzio;Decision - Unanimous;1.0
Zhang Tiequan;Darren Elkins;Darren Elkins;Decision - Unanimous;1.0
Aaron Simpson;Eric Schafer;Aaron Simpson;Decision - Unanimous;1.0
Pat Barry;Stefan Struve;Stefan Struve;Submission;0.5
Dominick Cruz;Demetrious Johnson;Dominick Cruz;Decision - Unanimous;1.0
Shane Roller;TJ Grant;TJ Grant;Submission;0.5
Michael Johnson;Paul Sass;Paul Sass;Submission;0.5
Matt Wiman;Mac Danzig;Matt Wiman;Decision - Unanimous;1.0
Yves Edwards;Rafaello Oliveira;Yves Edwards;KO/TKO;0.5
Anthony Johnson;Charlie Brenneman;Anthony Johnson;KO/TKO;0.5
Mike Easton;Byron Bloodworth;Mike Easton;KO/TKO;0.5
Walel Watson;Joseph Sandoval;Walel Watson;KO/TKO;0.5
Josh Neer;Keith Wisniewski;Josh Neer;TKO - Doctor's Stoppage;0.5
Matt Hughes;Josh Koscheck;Josh Koscheck;KO/TKO;0.5
Ben Rothwell;Mark Hunt;Mark Hunt;Decision - Unanimous;1.0
Jon Jones;Quinton Jackson;Jon Jones;Submission;0.5
Junior Assuncao;Eddie Yagin;Junior Assuncao;Decision - Unanimous;1.0
Tony Ferguson;Aaron Riley;Tony Ferguson;TKO - Doctor's Stoppage;0.5
Travis Browne;Rob Broughton;Travis Browne;Decision - Unanimous;1.0
Nate Diaz;Takanori Gomi;Nate Diaz;Submission;0.5
Nick Ring;Tim Boetsch;Tim Boetsch;Decision - Unanimous;1.0
James Te Huna;Ricardo Romero;James Te Huna;KO/TKO;0.5
Takeya Mizugaki;Cole Escovedo;Takeya Mizugaki;KO/TKO;0.5
Matthew Riddle;Lance Benoist;Lance Benoist;Decision - Unanimous;1.0
Court McGee;Dongi Yang;Court McGee;Decision - Unanimous;1.0
Jake Shields;Jake Ellenberger;Jake Ellenberger;KO/TKO;0.5
Evan Dunham;Shamar Bailey;Evan Dunham;Decision - Unanimous;1.0
Jonathan Brookins;Erik Koch;Erik Koch;Decision - Unanimous;1.0
Cody McKenzie;Vagner Rocha;Vagner Rocha;Submission;0.5
Alan Belcher;Jason MacDonald;Alan Belcher;KO/TKO;0.5
Ken Stone;Donny Walker;Ken Stone;Submission;0.5
Clay Harvison;Seth Baczynski;Seth Baczynski;Submission;0.5
Justin Edwards;Jorge Lopez;Justin Edwards;Decision - Unanimous;1.0
Robert Peralta;Mike Lullo;Robert Peralta;Decision - Unanimous;1.0
TJ Waldburger;Mike Stumpf;TJ Waldburger;Submission;0.5
Anderson Silva;Yushin Okami;Anderson Silva;KO/TKO;0.5
Antonio Rodrigo Nogueira;Brendan Schaub;Antonio Rodrigo Nogueira;KO/TKO;0.5
Rousimar Palhares;Dan Miller;Rousimar Palhares;Decision - Unanimous;1.0
Ross Pearson;Edson Barboza;Edson Barboza;Decision - Split;1.0
Thiago Tavares;Spencer Fisher;Thiago Tavares;KO/TKO;0.5
Paulo Thiago;David Mitchell;Paulo Thiago;Decision - Unanimous;1.0
Mauricio Rua;Forrest Griffin;Mauricio Rua;KO/TKO;0.5
Luiz Cane;Stanislav Nedkov;Stanislav Nedkov;KO/TKO;0.5
Erick Silva;Luis Ramos;Erick Silva;KO/TKO;0.5
Yves Jabouin;Ian Loveland;Yves Jabouin;Decision - Split;1.0
Iuri Alcantara;Felipe Arantes;Iuri Alcantara;Decision - Unanimous;1.0
Raphael Assuncao;Johnny Eduardo;Raphael Assuncao;Decision - Unanimous;1.0
Amir Sadollah;Duane Ludwig;Duane Ludwig;Decision - Unanimous;1.0
Jim Miller;Benson Henderson;Benson Henderson;Decision - Unanimous;1.0
Ed Herman;Kyle Noke;Ed Herman;Submission;0.5
Ronny Markes;Karlos Vemola;Ronny Markes;Decision - Unanimous;1.0
CB Dollaway;Jared Hamman;Jared Hamman;KO/TKO;0.5
Joseph Benavidez;Eddie Wineland;Joseph Benavidez;Decision - Unanimous;1.0
Dan Hardy;Chris Lytle;Chris Lytle;Submission;0.5
Donald Cerrone;Charles Oliveira;Donald Cerrone;KO/TKO;0.5
Jimy Hettes;Alex Caceres;Jimy Hettes;Submission;0.5
Jacob Volkmann;Danny Castillo;Jacob Volkmann;Decision - Unanimous;1.0
Cole Miller;TJ O'Brien;Cole Miller;Submission;0.5
Edwin Figueroa;Jason Reinhardt;Edwin Figueroa;KO/TKO;0.5
Ivan Menjivar;Nick Pace;Ivan Menjivar;Decision - Unanimous;1.0
Vitor Belfort;Yoshihiro Akiyama;Vitor Belfort;KO/TKO;0.5
Dennis Hallman;Brian Ebersole;Brian Ebersole;KO/TKO;0.5
Jorge Rivera;Constantinos Philippou;Constantinos Philippou;Decision - Split;1.0
Matt Hamill;Alexander Gustafsson;Alexander Gustafsson;KO/TKO;0.5
Chad Mendes;Rani Yahya;Chad Mendes;Decision - Unanimous;1.0
Rashad Evans;Tito Ortiz;Rashad Evans;KO/TKO;0.5
Rory MacDonald;Mike Pyle;Rory MacDonald;KO/TKO;0.5
Johny Hendricks;Mike Pierce;Johny Hendricks;Decision - Split;1.0
Rafael Natal;Paul Bradley;Rafael Natal;Decision - Unanimous;1.0
Mike Brown;Nam Phan;Mike Brown;Decision - Unanimous;1.0
Melvin Guillard;Shane Roller;Melvin Guillard;KO/TKO;0.5
Brian Bowles;Takeya Mizugaki;Brian Bowles;Decision - Unanimous;1.0
Tito Ortiz;Ryan Bader;Tito Ortiz;Submission;0.5
Dominick Cruz;Urijah Faber;Dominick Cruz;Decision - Unanimous;1.0
Carlos Condit;Dong Hyun Kim;Carlos Condit;KO/TKO;0.5
Wanderlei Silva;Chris Leben;Chris Leben;KO/TKO;0.5
Dennis Siver;Matt Wiman;Dennis Siver;Decision - Unanimous;1.0
George Sotiropoulos;Rafael Dos Anjos;Rafael Dos Anjos;KO/TKO;0.5
Jeff Hougland;Donny Walker;Jeff Hougland;Decision - Unanimous;1.0
Brad Tavares;Aaron Simpson;Aaron Simpson;Decision - Unanimous;1.0
Anthony Njokuani;Andre Winner;Anthony Njokuani;Decision - Unanimous;1.0
Daniel Roberts;Rich Attonito;Rich Attonito;Decision - Unanimous;1.0
Cheick Kongo;Pat Barry;Cheick Kongo;KO/TKO;0.5
Matt Brown;John Howard;Matt Brown;Decision - Unanimous;1.0
Tyson Griffin;Manvel Gamburyan;Tyson Griffin;Decision - Unanimous;1.0
Joe Lauzon;Curt Warburton;Joe Lauzon;Submission;0.5
Joe Stevenson;Javier Vazquez;Javier Vazquez;Decision - Unanimous;1.0
Christian Morecraft;Matt Mitrione;Matt Mitrione;KO/TKO;0.5
Charlie Brenneman;Rick Story;Charlie Brenneman;Decision - Unanimous;1.0
Nik Lentz;Charles Oliveira;;Overturned;2.0
Michael Johnson;Edward Faaloloto;Michael Johnson;KO/TKO;0.5
Ricardo Lamas;Matt Grice;Ricardo Lamas;KO/TKO;0.5
Mark Munoz;Demian Maia;Mark Munoz;Decision - Unanimous;1.0
Vagner Rocha;Donald Cerrone;Donald Cerrone;Decision - Unanimous;1.0
Shane Carwin;Junior Dos Santos;Junior Dos Santos;Decision - Unanimous;1.0
Dave Herman;Jon Olav Einemo;Dave Herman;KO/TKO;0.5
Jesse Bongfeldt;Chris Weidman;Chris Weidman;Submission;0.5
Mike Massenzio;Krzysztof Soszynski;Krzysztof Soszynski;Decision - Unanimous;1.0
Yves Edwards;Sam Stout;Sam Stout;KO/TKO;0.5
Kenny Florian;Diego Nunes;Kenny Florian;Decision - Unanimous;1.0
Dustin Poirier;Jason Young;Dustin Poirier;Decision - Unanimous;1.0
Nick Ring;James Head;Nick Ring;Submission;0.5
Joey Beltran;Aaron Rosa;Joey Beltran;KO/TKO;0.5
Darren Elkins;Michihiro Omigawa;Darren Elkins;Decision - Unanimous;1.0
Ramsey Nijem;Tony Ferguson;Tony Ferguson;KO/TKO;0.5
Ryan McGillivray;Shamar Bailey;Shamar Bailey;Decision - Unanimous;1.0
Josh Grispi;George Roop;George Roop;KO/TKO;0.5
Fabio Maldonado;Kyle Kingsbury;Kyle Kingsbury;Decision - Unanimous;1.0
Clay Guida;Anthony Pettis;Clay Guida;Decision - Unanimous;1.0
Chuck O'Neil;Chris Cope;Chris Cope;Decision - Unanimous;1.0
Danny Downes;Jeremy Stephens;Jeremy Stephens;Decision - Unanimous;1.0
Ed Herman;Tim Credeur;Ed Herman;KO/TKO;0.5
Clay Harvison;Justin Edwards;Clay Harvison;Decision - Split;1.0
Scott Jorgensen;Ken Stone;Scott Jorgensen;KO/TKO;0.5
Reuben Duran;Francisco Rivera;Reuben Duran;Submission;0.5
Gleison Tibau;Rafaello Oliveira;Gleison Tibau;Submission;0.5
Stefan Struve;Travis Browne;Travis Browne;KO/TKO;0.5
Brian Stann;Jorge Santiago;Brian Stann;KO/TKO;0.5
Thiago Alves;Rick Story;Rick Story;Decision - Unanimous;1.0
Miguel Torres;Demetrious Johnson;Demetrious Johnson;Decision - Unanimous;1.0
Quinton Jackson;Matt Hamill;Quinton Jackson;Decision - Unanimous;1.0
Frank Mir;Roy Nelson;Frank Mir;Decision - Unanimous;1.0
Kendall Grove;Tim Boetsch;Tim Boetsch;Decision - Unanimous;1.0
Michael McDonald;Chris Cariaso;Michael McDonald;Decision - Split;1.0
Cole Escovedo;Renan Barao;Renan Barao;Decision - Unanimous;1.0
Jake Ellenberger;Sean Pierson;Jake Ellenberger;KO/TKO;0.5
Vladimir Matyushenko;Jason Brilz;Vladimir Matyushenko;KO/TKO;0.5
Mark Bocek;Benson Henderson;Benson Henderson;Decision - Unanimous;1.0
Georges St-Pierre;Jake Shields;Georges St-Pierre;Decision - Unanimous;1.0
Jose Aldo;Mark Hominick;Jose Aldo;Decision - Unanimous;1.0
Daniel Roberts;Claude Patrick;Claude Patrick;Decision - Unanimous;1.0
Lyoto Machida;Randy Couture;Lyoto Machida;KO/TKO;0.5
Nate Diaz;Rory MacDonald;Rory MacDonald;Decision - Unanimous;1.0
Yves Jabouin;Pablo Garza;Pablo Garza;Submission;0.5
Ivan Menjivar;Charlie Valencia;Ivan Menjivar;KO/TKO;0.5
Jason MacDonald;Ryan Jensen;Jason MacDonald;Submission;0.5
John Makdessi;Kyle Watson;John Makdessi;KO/TKO;0.5
DaMarques Johnson;Amir Sadollah;Amir Sadollah;KO/TKO;0.5
Anthony Johnson;Dan Hardy;Anthony Johnson;Decision - Unanimous;1.0
Chan Sung Jung;Leonard Garcia;Chan Sung Jung;Submission;0.5
John Hathaway;Kris McCray;John Hathaway;Decision - Split;1.0
Alex Caceres;Mackens Semerzier;Mackens Semerzier;Submission;0.5
Jon Madsen;Mike Russow;Mike Russow;TKO - Doctor's Stoppage;0.5
Michael McDonald;Edwin Figueroa;Michael McDonald;Decision - Unanimous;1.0
Phil Davis;Rogerio Nogueira;Phil Davis;Decision - Unanimous;1.0
Johny Hendricks;TJ Waldburger;Johny Hendricks;KO/TKO;0.5
Mario Miranda;Aaron Simpson;Aaron Simpson;Decision - Unanimous;1.0
Sean McCorkle;Christian Morecraft;Christian Morecraft;Submission;0.5
Waylon Lowe;Nik Lentz;Nik Lentz;Submission;0.5
Luiz Cane;Eliot Marshall;Luiz Cane;KO/TKO;0.5
Urijah Faber;Eddie Wineland;Urijah Faber;Decision - Unanimous;1.0
Dan Miller;Nate Marquardt;Nate Marquardt;Decision - Unanimous;1.0
Jim Miller;Kamal Shalorus;Jim Miller;KO/TKO;0.5
Edson Barboza;Anthony Njokuani;Edson Barboza;Decision - Unanimous;1.0
Mauricio Rua;Jon Jones;Jon Jones;KO/TKO;0.5
Mirko Filipovic;Brendan Schaub;Brendan Schaub;KO/TKO;0.5
Ricardo Almeida;Mike Pyle;Mike Pyle;Decision - Unanimous;1.0
Joseph Benavidez;Ian Loveland;Joseph Benavidez;Decision - Unanimous;1.0
Kurt Pellegrino;Gleison Tibau;Gleison Tibau;Decision - Split;1.0
Erik Koch;Raphael Assuncao;Erik Koch;KO/TKO;0.5
Constantinos Philippou;Nick Catone;Nick Catone;Decision - Unanimous;1.0
Alessio Sakara;Chris Weidman;Chris Weidman;Decision - Unanimous;1.0
Joe Stevenson;Danny Castillo;Danny Castillo;Decision - Unanimous;1.0
Brian Bowles;Damacio Page;Brian Bowles;Submission;0.5
Steve Cantwell;Cyrille Diabate;Cyrille Diabate;Decision - Unanimous;1.0
Diego Sanchez;Martin Kampmann;Diego Sanchez;Decision - Unanimous;1.0
Thiago Tavares;Shane Roller;Shane Roller;KO/TKO;0.5
Takeya Mizugaki;Reuben Duran;Takeya Mizugaki;Decision - Split;1.0
CB Dollaway;Mark Munoz;Mark Munoz;KO/TKO;0.5
Rob Kimmons;Dongi Yang;Dongi Yang;KO/TKO;0.5
Igor Pokrajac;Todd Brown;Igor Pokrajac;KO/TKO;0.5
David Branch;Rousimar Palhares;Rousimar Palhares;Submission;0.5
Chris Camozzi;Kyle Noke;Kyle Noke;Submission;0.5
Brian Ebersole;Chris Lytle;Brian Ebersole;Decision - Unanimous;1.0
Nick Ring;Riki Fukuda;Nick Ring;Decision - Unanimous;1.0
George Sotiropoulos;Dennis Siver;Dennis Siver;Decision - Unanimous;1.0
Alexander Gustafsson;James Te Huna;Alexander Gustafsson;Submission;0.5
BJ Penn;Jon Fitch;;Decision - Majority;1.0
Michael Bisping;Jorge Rivera;Michael Bisping;KO/TKO;0.5
Ross Pearson;Spencer Fisher;Ross Pearson;Decision - Unanimous;1.0
Zhang Tiequan;Jason Reinhardt;Zhang Tiequan;Submission;0.5
Tom Blackledge;Anthony Perosh;Anthony Perosh;Submission;0.5
Maciej Jewtuszko;Curt Warburton;Curt Warburton;Decision - Unanimous;1.0
Mark Hunt;Chris Tuchscherer;Mark Hunt;KO/TKO;0.5
Jake Ellenberger;Carlos Eduardo Rocha;Jake Ellenberger;Decision - Split;1.0
Norifumi Yamamoto;Demetrious Johnson;Demetrious Johnson;Decision - Unanimous;1.0
Jon Jones;Ryan Bader;Jon Jones;Submission;0.5
Miguel Torres;Antonio Banuelos;Miguel Torres;Decision - Unanimous;1.0
Chad Mendes;Michihiro Omigawa;Chad Mendes;Decision - Unanimous;1.0
Anderson Silva;Vitor Belfort;Anderson Silva;KO/TKO;0.5
Donald Cerrone;Paul Kelly;Donald Cerrone;Submission;0.5
Forrest Griffin;Rich Franklin;Forrest Griffin;Decision - Unanimous;1.0
Kyle Kingsbury;Ricardo Romero;Kyle Kingsbury;KO/TKO;0.5
Paul Taylor;Gabe Ruediger;Paul Taylor;KO/TKO;0.5
Mike Pierce;Kenny Robertson;Mike Pierce;KO/TKO;0.5
Cole Miller;Matt Wiman;Matt Wiman;Decision - Unanimous;1.0
Pat Barry;Joey Beltran;Pat Barry;Decision - Unanimous;1.0
Matt Mitrione;Tim Hague;Matt Mitrione;KO/TKO;0.5
Melvin Guillard;Evan Dunham;Melvin Guillard;KO/TKO;0.5
Mark Hominick;George Roop;Mark Hominick;KO/TKO;0.5
Rani Yahya;Mike Brown;Rani Yahya;Decision - Unanimous;1.0
DaMarques Johnson;Mike Guymon;DaMarques Johnson;Submission;0.5
Cody McKenzie;Yves Edwards;Yves Edwards;Submission;0.5
Waylon Lowe;Willamy Freire;Waylon Lowe;Decision - Unanimous;1.0
Will Campuzano;Chris Cariaso;Chris Cariaso;Decision - Unanimous;1.0
Charlie Brenneman;Amilcar Alves;Charlie Brenneman;Decision - Unanimous;1.0
Phil Baroni;Brad Tavares;Brad Tavares;KO/TKO;0.5
Jeremy Stephens;Marcus Davis;Jeremy Stephens;KO/TKO;0.5
Brandon Vera;Thiago Silva;;Overturned;2.0
Chris Leben;Brian Stann;Brian Stann;KO/TKO;0.5
Dustin Poirier;Josh Grispi;Dustin Poirier;Decision - Unanimous;1.0
Nate Diaz;Dong Hyun Kim;Dong Hyun Kim;Decision - Unanimous;1.0
Clay Guida;Takanori Gomi;Clay Guida;Submission;0.5
Frankie Edgar;Gray Maynard;;Decision - Split;1.0
Mike Brown;Diego Nunes;Diego Nunes;Decision - Split;1.0
Daniel Roberts;Greg Soto;Daniel Roberts;Submission;0.5
Jacob Volkmann;Antonio McKee;Jacob Volkmann;Decision - Split;1.0
Jim Miller;Charles Oliveira;Jim Miller;Submission;0.5
Thiago Alves;John Howard;Thiago Alves;Decision - Unanimous;1.0
Stefan Struve;Sean McCorkle;Stefan Struve;KO/TKO;0.5
Joe Stevenson;Mac Danzig;Mac Danzig;KO/TKO;0.5
Joe Doerksen;Dan Miller;Dan Miller;Decision - Split;1.0
Mark Bocek;Dustin Hazelett;Mark Bocek;Submission;0.5
Georges St-Pierre;Josh Koscheck;Georges St-Pierre;Decision - Unanimous;1.0
Jesse Bongfeldt;Rafael Natal;;Decision - Majority;1.0
TJ Grant;Ricardo Almeida;Ricardo Almeida;Decision - Unanimous;1.0
Pat Audinwood;John Makdessi;John Makdessi;Decision - Unanimous;1.0
Matthew Riddle;Sean Pierson;Sean Pierson;Decision - Unanimous;1.0
Johny Hendricks;Rick Story;Rick Story;Decision - Unanimous;1.0
Kendall Grove;Demian Maia;Demian Maia;Decision - Unanimous;1.0
Sako Chivitchian;Kyle Watson;Kyle Watson;Decision - Unanimous;1.0
Stephan Bonnar;Igor Pokrajac;Stephan Bonnar;Decision - Unanimous;1.0
Cody McKenzie;Aaron Wilkinson;Cody McKenzie;Submission;0.5
Nam Phan;Leonard Garcia;Leonard Garcia;Decision - Split;1.0
Jonathan Brookins;Michael Johnson;Jonathan Brookins;Decision - Unanimous;1.0
Ian Loveland;Tyler Toner;Ian Loveland;Decision - Unanimous;1.0
Will Campuzano;Nick Pace;Nick Pace;Submission;0.5
Fredson Paixao;Pablo Garza;Pablo Garza;KO/TKO;0.5
Rich Attonito;David Branch;David Branch;Decision - Unanimous;1.0
Phil Davis;Tim Boetsch;Phil Davis;Submission;0.5
Karo Parisyan;Dennis Hallman;Dennis Hallman;KO/TKO;0.5
Matt Brown;Brian Foster;Brian Foster;Submission;0.5
Gerald Harris;Maiquel Falcao;Maiquel Falcao;Decision - Unanimous;1.0
Aaron Simpson;Mark Munoz;Mark Munoz;Decision - Unanimous;1.0
Matt Hughes;BJ Penn;BJ Penn;KO/TKO;0.5
Quinton Jackson;Lyoto Machida;Quinton Jackson;Decision - Split;1.0
George Sotiropoulos;Joe Lauzon;George Sotiropoulos;Submission;0.5
Mike Lullo;Edson Barboza;Edson Barboza;KO/TKO;0.5
Paul Kelly;TJ O'Brien;Paul Kelly;KO/TKO;0.5
Tyson Griffin;Nik Lentz;Nik Lentz;Decision - Split;1.0
Kyle Noke;Rob Kimmons;Kyle Noke;Submission;0.5
Amir Sadollah;Peter Sobotta;Amir Sadollah;Decision - Unanimous;1.0
Dennis Siver;Andre Winner;Dennis Siver;Submission;0.5
Pascal Krauss;Mark Scanlon;Pascal Krauss;Decision - Unanimous;1.0
Duane Ludwig;Nick Osipczak;Duane Ludwig;Decision - Split;1.0
Nate Marquardt;Yushin Okami;Yushin Okami;Decision - Unanimous;1.0
Vladimir Matyushenko;Alexandre Ferreira;Vladimir Matyushenko;KO/TKO;0.5
Krzysztof Soszynski;Goran Reljic;Krzysztof Soszynski;Decision - Unanimous;1.0
Kris McCray;Carlos Eduardo Rocha;Carlos Eduardo Rocha;Submission;0.5
Seth Petruzelli;Karlos Vemola;Karlos Vemola;KO/TKO;0.5
Mike Guymon;Daniel Roberts;Daniel Roberts;Submission;0.5
Diego Sanchez;Paulo Thiago;Diego Sanchez;Decision - Unanimous;1.0
Court McGee;Ryan Jensen;Court McGee;Submission;0.5
Brendan Schaub;Gabriel Gonzaga;Brendan Schaub;Decision - Unanimous;1.0
Jake Shields;Martin Kampmann;Jake Shields;Decision - Split;1.0
Brock Lesnar;Cain Velasquez;Cain Velasquez;KO/TKO;0.5
Tito Ortiz;Matt Hamill;Matt Hamill;Decision - Unanimous;1.0
Patrick Cote;Tom Lawlor;Tom Lawlor;Decision - Unanimous;1.0
Sam Stout;Paul Taylor;Sam Stout;Decision - Split;1.0
Jon Madsen;Gilbert Yvel;Jon Madsen;KO/TKO;0.5
Chris Camozzi;Dongi Yang;Chris Camozzi;Decision - Split;1.0
Cyrille Diabate;Alexander Gustafsson;Alexander Gustafsson;Submission;0.5
John Hathaway;Mike Pyle;Mike Pyle;Decision - Unanimous;1.0
Dan Hardy;Carlos Condit;Carlos Condit;KO/TKO;0.5
Paul Sass;Mark Holst;Paul Sass;Submission;0.5
James Wilks;Claude Patrick;Claude Patrick;Decision - Unanimous;1.0
Cheick Kongo;Travis Browne;;Decision - Unanimous;1.0
Michael Bisping;Yoshihiro Akiyama;Michael Bisping;Decision - Unanimous;1.0
Rob Broughton;Vinicius Queiroz;Rob Broughton;Submission;0.5
James McSweeney;Fabio Maldonado;Fabio Maldonado;KO/TKO;0.5
Spencer Fisher;Curt Warburton;Spencer Fisher;Decision - Unanimous;1.0
Thiago Tavares;Pat Audinwood;Thiago Tavares;Submission;0.5
CB Dollaway;Joe Doerksen;CB Dollaway;Submission;0.5
Sean Sherk;Evan Dunham;Sean Sherk;Decision - Split;1.0
Matt Serra;Chris Lytle;Chris Lytle;Decision - Unanimous;1.0
Rogerio Nogueira;Ryan Bader;Ryan Bader;Decision - Unanimous;1.0
Melvin Guillard;Jeremy Stephens;Melvin Guillard;Decision - Split;1.0
Frank Mir;Mirko Filipovic;Frank Mir;KO/TKO;0.5
Matt Mitrione;Joey Beltran;Matt Mitrione;Decision - Unanimous;1.0
Steve Lopez;Waylon Lowe;Waylon Lowe;Decision - Split;1.0
Mark Hunt;Sean McCorkle;Sean McCorkle;Submission;0.5
TJ Grant;Julio Paulino;TJ Grant;Decision - Unanimous;1.0
Nate Marquardt;Rousimar Palhares;Nate Marquardt;KO/TKO;0.5
Rich Attonito;Rafael Natal;Rich Attonito;Decision - Unanimous;1.0
Yves Edwards;John Gunderson;Yves Edwards;Decision - Unanimous;1.0
Tomasz Drwal;David Branch;David Branch;Decision - Unanimous;1.0
Jared Hamman;Kyle Kingsbury;Kyle Kingsbury;Decision - Unanimous;1.0
Cole Miller;Ross Pearson;Cole Miller;Submission;0.5
Jim Miller;Gleison Tibau;Jim Miller;Decision - Unanimous;1.0
Efrain Escudero;Charles Oliveira;Charles Oliveira;Submission;0.5
Brian Foster;Forrest Petz;Brian Foster;KO/TKO;0.5
TJ Waldburger;David Mitchell;TJ Waldburger;Decision - Unanimous;1.0
Joe Lauzon;Gabe Ruediger;Joe Lauzon;Submission;0.5
Andre Winner;Nik Lentz;Nik Lentz;Decision - Unanimous;1.0
Demian Maia;Mario Miranda;Demian Maia;Decision - Unanimous;1.0
Frankie Edgar;BJ Penn;Frankie Edgar;Decision - Unanimous;1.0
Dan Miller;John Salter;Dan Miller;Submission;0.5
Randy Couture;James Toney;Randy Couture;Submission;0.5
Kenny Florian;Gray Maynard;Gray Maynard;Decision - Unanimous;1.0
Nate Diaz;Marcus Davis;Nate Diaz;Submission;0.5
Mike Pierce;Amilcar Alves;Mike Pierce;Submission;0.5
Nick Osipczak;Greg Soto;Greg Soto;Decision - Unanimous;1.0
Jon Fitch;Thiago Alves;Jon Fitch;Decision - Unanimous;1.0
Roy Nelson;Junior Dos Santos;Junior Dos Santos;Decision - Unanimous;1.0
Rodney Wallace;Phil Davis;Phil Davis;Decision - Unanimous;1.0
Clay Guida;Rafael Dos Anjos;Clay Guida;Submission;0.5
Matt Hughes;Ricardo Almeida;Matt Hughes;Submission;0.5
Johny Hendricks;Charlie Brenneman;Johny Hendricks;KO/TKO;0.5
Anderson Silva;Chael Sonnen;Anderson Silva;Submission;0.5
Dustin Hazelett;Rick Story;Rick Story;KO/TKO;0.5
Todd Brown;Tim Boetsch;Tim Boetsch;Decision - Unanimous;1.0
Stefan Struve;Christian Morecraft;Stefan Struve;KO/TKO;0.5
Ben Saunders;Dennis Hallman;Dennis Hallman;Decision - Unanimous;1.0
DaMarques Johnson;Matthew Riddle;Matthew Riddle;KO/TKO;0.5
Jon Jones;Vladimir Matyushenko;Jon Jones;KO/TKO;0.5
Tyson Griffin;Takanori Gomi;Takanori Gomi;KO/TKO;0.5
Mark Munoz;Yushin Okami;Yushin Okami;Decision - Split;1.0
James Irvin;Igor Pokrajac;Igor Pokrajac;Submission;0.5
Brian Stann;Mike Massenzio;Brian Stann;Submission;0.5
Paul Kelly;Jacob Volkmann;Jacob Volkmann;Decision - Unanimous;1.0
John Howard;Jake Ellenberger;Jake Ellenberger;TKO - Doctor's Stoppage;0.5
Darren Elkins;Charles Oliveira;Charles Oliveira;Submission;0.5
Rob Kimmons;Steve Steinbeiss;Rob Kimmons;Decision - Unanimous;1.0
Chris Leben;Yoshihiro Akiyama;Chris Leben;Submission;0.5
Krzysztof Soszynski;Stephan Bonnar;Stephan Bonnar;KO/TKO;0.5
George Sotiropoulos;Kurt Pellegrino;George Sotiropoulos;Decision - Unanimous;1.0
Chris Lytle;Matt Brown;Chris Lytle;Submission;0.5
