R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Manny Bermudez;Casey Kenney;Catch Weight Bout;Decision - Unanimous;1.0
Sabina Mazo;Shana Dobson;Women's Flyweight Bout;Decision - Unanimous;1.0
Eduardo Garagorri;Humberto Bandenay;Featherweight Bout;Decision - Unanimous;1.0
Vicente Luque;Mike Perry;Welterweight Bout;Decision - Split;1.0
Gilbert Burns;Aleksei Kunchenko;Welterweight Bout;Decision - Unanimous;1.0
Volkan Oezdemir;Ilir Latifi;Light Heavyweight Bout;KO/TKO;0.5
Ciryl Gane;Raphael Pessoa;Heavyweight Bout;Submission;0.5
Enrique Barzola;Bobby Moffett;Featherweight Bout;Decision - Split;1.0
Rodolfo Vieira;Oskar Piechota;Middleweight Bout;Submission;0.5
Valentina Shevchenko;Liz Carmouche;UFC Women's Flyweight Title Bout;Decision - Unanimous;1.0
Tecia Torres;Marina Rodriguez;Women's Strawweight Bout;Decision - Unanimous;1.0
Rogerio Bontorin;Raulian Paiva;Flyweight Bout;TKO - Doctor's Stoppage;0.5
Geraldo de Freitas;Chris Gutierrez;Bantamweight Bout;Decision - Split;1.0
Veronica Macedo;Polyana Viana;Women's Flyweight Bout;Submission;0.5
Kazula Vargas;Alex Da Silva;Lightweight Bout;Decision - Unanimous;1.0
Joaquim Silva;Nasrat Haqparast;Lightweight Bout;KO/TKO;0.5
Scott Holtzman;Dong Hyun Ma;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Darko Stosic;Kennedy Nzechukwu;Light Heavyweight Bout;Decision - Unanimous;1.0
Antonina Shevchenko;Lucie Pudilova;Women's Flyweight Bout;Submission;0.5
Colby Covington;Robbie Lawler;Welterweight Bout;Decision - Unanimous;1.0
Jim Miller;Clay Guida;Lightweight Bout;Submission;0.5
Trevin Giles;Gerald Meerschaert;Middleweight Bout;Submission;0.5
Miranda Granger;Hannah Goldy;Women's Flyweight Bout;Decision - Unanimous;1.0
Jordan Espinosa;Matt Schnell;Flyweight Bout;Submission;0.5
Lauren Murphy;Mara Romero Borella;Women's Flyweight Bout;KO/TKO;0.5
Claudio Silva;Cole Williams;Welterweight Bout;Submission;0.5
Mickey Gall;Salim Touahri;Welterweight Bout;Decision - Unanimous;1.0
Gavin Tucker;SeungWoo Choi;Featherweight Bout;Submission;0.5
Geoff Neal;Niko Price;Welterweight Bout;KO/TKO;0.5
Hakeem Dawodu;Yoshinori Horie;Featherweight Bout;KO/TKO;0.5
Marc-Andre Barriault;Krzysztof Jotko;Middleweight Bout;Decision - Split;1.0
Cristiane Justino;Felicia Spencer;Women's Featherweight Bout;Decision - Unanimous;1.0
Olivier Aubin-Mercier;Arman Tsarukyan;Lightweight Bout;Decision - Unanimous;1.0
Alexis Davis;Viviane Araujo;Women's Flyweight Bout;Decision - Unanimous;1.0
Max Holloway;Frankie Edgar;UFC Featherweight Title Bout;Decision - Unanimous;1.0
Alexandre Pantoja;Deiveson Figueiredo;Flyweight Bout;Decision - Unanimous;1.0
Gillian Robertson;Sarah Frota;Women's Flyweight Bout;KO/TKO;0.5
Erik Koch;Kyle Stewart;Welterweight Bout;Decision - Unanimous;1.0
Raquel Pennington;Irene Aldana;Women's Bantamweight Bout;Decision - Split;1.0
Rafael Dos Anjos;Leon Edwards;Welterweight Bout;Decision - Unanimous;1.0
Alex Caceres;Steven Peterson;Featherweight Bout;Decision - Unanimous;1.0
Alexander Hernandez;Francisco Trinaldo;Lightweight Bout;Decision - Unanimous;1.0
James Vick;Dan Hooker;Lightweight Bout;KO/TKO;0.5
Aleksei Oleinik;Walt Harris;Heavyweight Bout;KO/TKO;0.5
Andrei Arlovski;Ben Rothwell;Heavyweight Bout;Decision - Unanimous;1.0
Greg Hardy;Juan Adams;Heavyweight Bout;KO/TKO;0.5
Roxanne Modafferi;Jennifer Maia;Women's Flyweight Bout;Decision - Unanimous;1.0
Sam Alvey;Klidson Abreu;Light Heavyweight Bout;Decision - Unanimous;1.0
Domingo Pilarte;Felipe Colares;Bantamweight Bout;Decision - Split;1.0
Ray Borg;Gabriel Silva;Bantamweight Bout;Decision - Unanimous;1.0
Mario Bautista;Jin Soo Son;Bantamweight Bout;Decision - Unanimous;1.0
Andre Fili;Sheymon Moraes;Featherweight Bout;KO/TKO;0.5
Marvin Vettori;Cezar Ferreira;Middleweight Bout;Decision - Unanimous;1.0
Josh Emmett;Mirsad Bektic;Featherweight Bout;KO/TKO;0.5
Julianna Pena;Nicco Montano;Women's Bantamweight Bout;Decision - Unanimous;1.0
Mike Rodriguez;John Allan;Light Heavyweight Bout;Overturned;2.0
Urijah Faber;Ricky Simon;Bantamweight Bout;KO/TKO;0.5
Germaine de Randamie;Aspen Ladd;Women's Bantamweight Bout;KO/TKO;0.5
Karl Roberson;Wellington Turman;Middleweight Bout;Decision - Split;1.0
Pingyuan Liu;Jonathan Martinez;Bantamweight Bout;KO/TKO;0.5
Benito Lopez;Vince Morales;Bantamweight Bout;Decision - Unanimous;1.0
Livinha Souza;Brianna Van Buren;Women's Strawweight Bout;Decision - Unanimous;1.0
Darren Elkins;Ryan Hall;Featherweight Bout;Decision - Unanimous;1.0
Jorge Masvidal;Ben Askren;Welterweight Bout;KO/TKO;0.5
Marlon Vera;Nohelin Hernandez;Bantamweight Bout;Submission;0.5
Amanda Nunes;Holly Holm;UFC Women's Bantamweight Title Bout;KO/TKO;0.5
Diego Sanchez;Michael Chiesa;Welterweight Bout;Decision - Unanimous;1.0
Jon Jones;Thiago Santos;UFC Light Heavyweight Title Bout;Decision - Split;1.0
Gilbert Melendez;Arnold Allen;Featherweight Bout;Decision - Unanimous;1.0
Claudia Gadelha;Randa Markos;Women's Strawweight Bout;Decision - Unanimous;1.0
Jan Blachowicz;Luke Rockhold;Light Heavyweight Bout;KO/TKO;0.5
Edmen Shahbazyan;Jack Marshman;Middleweight Bout;Submission;0.5
Alejandro Perez;Song Yadong;Bantamweight Bout;KO/TKO;0.5
Ismail Naurdiev;Chance Rencountre;Welterweight Bout;Decision - Unanimous;1.0
Julia Avila;Pannie Kianzad;Women's Bantamweight Bout;Decision - Unanimous;1.0
Eryk Anders;Vinicius Moreira;Light Heavyweight Bout;KO/TKO;0.5
Jussier Formiga;Joseph Benavidez;Flyweight Bout;KO/TKO;0.5
Roosevelt Roberts;Vinc Pichel;Lightweight Bout;Decision - Unanimous;1.0
Francis Ngannou;Junior Dos Santos;Heavyweight Bout;KO/TKO;0.5
Alonzo Menifield;Paul Craig;Light Heavyweight Bout;KO/TKO;0.5
Drew Dober;Marco Polo Reyes;Lightweight Bout;KO/TKO;0.5
Demian Maia;Anthony Rocco Martin;Welterweight Bout;Decision - Majority;1.0
Ricardo Ramos;Journey Newson;Bantamweight Bout;Decision - Unanimous;1.0
Emily Whitmire;Amanda Ribas;Women's Strawweight Bout;Submission;0.5
Dalcha Lungiambula;Dequan Townsend;Light Heavyweight Bout;KO/TKO;0.5
Maurice Greene;Junior Albini;Heavyweight Bout;KO/TKO;0.5
Jared Gordon;Dan Moret;Lightweight Bout;Decision - Unanimous;1.0
Kevin Holland;Alessio Di Chirico;Middleweight Bout;Decision - Unanimous;1.0
Ashley Yoder;Syuri Kondo;Women's Strawweight Bout;Decision - Unanimous;1.0
Matt Wiman;Luis Pena;Lightweight Bout;KO/TKO;0.5
Andrea Lee;Montana De La Rosa;Women's Flyweight Bout;Decision - Unanimous;1.0
Renato Moicano;Chan Sung Jung;Featherweight Bout;KO/TKO;0.5
Bryan Barberena;Randy Brown;Welterweight Bout;KO/TKO;0.5
Dan Ige;Kevin Aguilar;Featherweight Bout;Decision - Unanimous;1.0
Andre Ewell;Anderson Dos Santos;Bantamweight Bout;Decision - Unanimous;1.0
Allen Crowder;Jairzinho Rozenstruik;Heavyweight Bout;KO/TKO;0.5
Ariane Lipski;Molly McCann;Women's Flyweight Bout;Decision - Unanimous;1.0
Deron Winn;Eric Spicely;Middleweight Bout;Decision - Unanimous;1.0
Aljamain Sterling;Pedro Munhoz;Bantamweight Bout;Decision - Unanimous;1.0
Tatiana Suarez;Nina Ansaroff;Women's Strawweight Bout;Decision - Unanimous;1.0
Tai Tuivasa;Blagoy Ivanov;Heavyweight Bout;Decision - Unanimous;1.0
Valentina Shevchenko;Jessica Eye;UFC Women's Flyweight Title Bout;KO/TKO;0.5
Jimmie Rivera;Petr Yan;Bantamweight Bout;Decision - Unanimous;1.0
Tony Ferguson;Donald Cerrone;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Karolina Kowalkiewicz;Alexa Grasso;Women's Strawweight Bout;Decision - Unanimous;1.0
Henry Cejudo;Marlon Moraes;UFC Bantamweight Title Bout;KO/TKO;0.5
Yan Xiaonan;Angela Hill;Women's Strawweight Bout;Decision - Unanimous;1.0
Katlyn Chookagian;Joanne Calderwood;Women's Flyweight Bout;Decision - Unanimous;1.0
Bevon Lewis;Darren Stewart;Middleweight Bout;Decision - Unanimous;1.0
Ricardo Lamas;Calvin Kattar;Featherweight Bout;KO/TKO;0.5
Eddie Wineland;Grigory Popov;Bantamweight Bout;KO/TKO;0.5
Stevie Ray;Leonardo Santos;Lightweight Bout;KO/TKO;0.5
Tonya Evinger;Lina Lansberg;Women's Bantamweight Bout;Decision - Unanimous;1.0
Damir Hadzovic;Christos Giagos;Lightweight Bout;Decision - Unanimous;1.0
Makwan Amirkhani;Chris Fishgold;Featherweight Bout;Submission;0.5
Alexander Gustafsson;Anthony Smith;Light Heavyweight Bout;Submission;0.5
Daniel Teymur;Sung Bin Jo;Featherweight Bout;Decision - Unanimous;1.0
Rostem Akman;Sergey Khandozhko;Welterweight Bout;Decision - Unanimous;1.0
Jimi Manuwa;Aleksandar Rakic;Light Heavyweight Bout;KO/TKO;0.5
Darko Stosic;Devin Clark;Light Heavyweight Bout;Decision - Unanimous;1.0
Joel Alvarez;Danilo Belluardo;Lightweight Bout;KO/TKO;0.5
Nick Hein;Frank Camacho;Lightweight Bout;KO/TKO;0.5
Bea Malecki;Duda Santana;Women's Bantamweight Bout;Submission;0.5
Davi Ramos;Austin Hubbard;Lightweight Bout;Decision - Unanimous;1.0
Vicente Luque;Derrick Krantz;Welterweight Bout;KO/TKO;0.5
Rafael Dos Anjos;Kevin Lee;Welterweight Bout;Submission;0.5
Aspen Ladd;Sijara Eubanks;Women's Bantamweight Bout;Decision - Unanimous;1.0
Desmond Green;Charles Jourdain;Lightweight Bout;Decision - Unanimous;1.0
Megan Anderson;Felicia Spencer;Women's Featherweight Bout;Submission;0.5
Antonio Carlos Junior;Ian Heinisch;Middleweight Bout;Decision - Unanimous;1.0
Charles Oliveira;Nik Lentz;Lightweight Bout;KO/TKO;0.5
Zak Cummings;Trevin Giles;Middleweight Bout;Submission;0.5
Michael Trizano;Grant Dawson;Featherweight Bout;Submission;0.5
Danny Roberts;Michel Pereira;Welterweight Bout;KO/TKO;0.5
Patrick Cummins;Ed Herman;Light Heavyweight Bout;KO/TKO;0.5
Julio Arce;Julian Erosa;Featherweight Bout;KO/TKO;0.5
Irene Aldana;Bethe Correia;Women's Bantamweight Bout;Submission;0.5
Jared Cannonier;Anderson Silva;Middleweight Bout;KO/TKO;0.5
Rogerio Nogueira;Ryan Spann;Light Heavyweight Bout;KO/TKO;0.5
Thiago Moises;Kurt Holobaugh;Lightweight Bout;Decision - Unanimous;1.0
Jose Aldo;Alexander Volkanovski;Featherweight Bout;Decision - Unanimous;1.0
Thiago Alves;Laureano Staropoli;Welterweight Bout;Decision - Unanimous;1.0
Warlley Alves;Sergio Moraes;Welterweight Bout;KO/TKO;0.5
Raoni Barcelos;Carlos Huachin;Bantamweight Bout;KO/TKO;0.5
BJ Penn;Clay Guida;Lightweight Bout;Decision - Unanimous;1.0
Luana Carolina;Priscila Cachoeira;Women's Flyweight Bout;Decision - Unanimous;1.0
Talita Bernardo;Viviane Araujo;Women's Bantamweight Bout;KO/TKO;0.5
Walt Harris;Serghei Spivac;Heavyweight Bout;KO/TKO;0.5
Al Iaquinta;Donald Cerrone;Lightweight Bout;Decision - Unanimous;1.0
Marc-Andre Barriault;Andrew Sanchez;Middleweight Bout;Decision - Unanimous;1.0
Aiemann Zahabi;Vince Morales;Bantamweight Bout;Decision - Unanimous;1.0
Derek Brunson;Elias Theodorou;Middleweight Bout;Decision - Unanimous;1.0
Macy Chiasson;Sarah Moras;Women's Bantamweight Bout;KO/TKO;0.5
Cub Swanson;Shane Burgos;Featherweight Bout;Decision - Split;1.0
Brad Katona;Merab Dvalishvili;Bantamweight Bout;Decision - Unanimous;1.0
Nordine Taleb;Kyle Prepolec;Welterweight Bout;Decision - Unanimous;1.0
Kyle Nelson;Matt Sayles;Featherweight Bout;Submission;0.5
Arjan Bhullar;Juan Adams;Heavyweight Bout;Decision - Unanimous;1.0
Mitch Gagnon;Cole Smith;Bantamweight Bout;Decision - Unanimous;1.0
Andrei Arlovski;Augusto Sakai;Heavyweight Bout;Decision - Split;1.0
Glover Teixeira;Ion Cutelaba;Light Heavyweight Bout;Submission;0.5
Greg Hardy;Dmitrii Smoliakov;Heavyweight Bout;KO/TKO;0.5
John Lineker;Cory Sandhagen;Bantamweight Bout;Decision - Split;1.0
Jacare Souza;Jack Hermansson;Middleweight Bout;Decision - Unanimous;1.0
Roosevelt Roberts;Thomas Gifford;Lightweight Bout;Decision - Unanimous;1.0
Ben Saunders;Takashi Sato;Welterweight Bout;KO/TKO;0.5
Alex Oliveira;Mike Perry;Welterweight Bout;Decision - Unanimous;1.0
Angela Hill;Jodie Esquibel;Women's Strawweight Bout;Decision - Unanimous;1.0
Carla Esparza;Virna Jandiroba;Women's Strawweight Bout;Decision - Unanimous;1.0
Gilbert Burns;Mike Davis;Lightweight Bout;Submission;0.5
Jim Miller;Jason Gonzalez;Lightweight Bout;Submission;0.5
Court McGee;Dhiego Lima;Welterweight Bout;Decision - Split;1.0
Roxanne Modafferi;Antonina Shevchenko;Women's Flyweight Bout;Decision - Split;1.0
Alexander Yakovlev;Alex Da Silva;Lightweight Bout;Submission;0.5
Islam Makhachev;Arman Tsarukyan;Lightweight Bout;Decision - Unanimous;1.0
Krzysztof Jotko;Alen Amedovski;Middleweight Bout;Decision - Unanimous;1.0
Sergei Pavlovich;Marcelo Golm;Heavyweight Bout;KO/TKO;0.5
Alistair Overeem;Aleksei Oleinik;Heavyweight Bout;KO/TKO;0.5
Movsar Evloev;SeungWoo Choi;Featherweight Bout;Decision - Unanimous;1.0
Sultan Aliev;Keita Nakamura;Welterweight Bout;Decision - Unanimous;1.0
Marcin Tybura;Shamil Abdurakhimov;Heavyweight Bout;KO/TKO;0.5
Gadzhimurad Antigulov;Michal Oleksiejczuk;Light Heavyweight Bout;KO/TKO;0.5
Magomed Mustafaev;Rafael Fiziev;Lightweight Bout;KO/TKO;0.5
Max Holloway;Dustin Poirier;UFC Interim Lightweight Title Bout;Decision - Unanimous;1.0
Max Griffin;Zelim Imadaev;Welterweight Bout;Decision - Majority;1.0
Eryk Anders;Khalil Rountree Jr.;Light Heavyweight Bout;Decision - Unanimous;1.0
Alan Jouban;Dwight Grant;Welterweight Bout;Decision - Split;1.0
Jalin Turner;Matt Frevola;Lightweight Bout;Decision - Unanimous;1.0
Ovince Saint Preux;Nikita Krylov;Light Heavyweight Bout;Submission;0.5
Kelvin Gastelum;Israel Adesanya;UFC Interim Middleweight Title Bout;Decision - Unanimous;1.0
Curtis Millender;Belal Muhammad;Welterweight Bout;Decision - Unanimous;1.0
Wilson Reis;Alexandre Pantoja;Flyweight Bout;KO/TKO;0.5
Boston Salmon;Khalid Taha;Bantamweight Bout;KO/TKO;0.5
Montel Jackson;Andre Soukhamthath;Bantamweight Bout;Decision - Unanimous;1.0
Brandon Davis;Randy Costa;Bantamweight Bout;Submission;0.5
Lauren Mueller;Poliana Botelho;Women's Flyweight Bout;Decision - Unanimous;1.0
Edson Barboza;Justin Gaethje;Lightweight Bout;KO/TKO;0.5
Kennedy Nzechukwu;Paul Craig;Light Heavyweight Bout;Submission;0.5
Ross Pearson;Desmond Green;Lightweight Bout;KO/TKO;0.5
Sodiq Yusuff;Sheymon Moraes;Featherweight Bout;Decision - Unanimous;1.0
Karolina Kowalkiewicz;Michelle Waterson;Women's Strawweight Bout;Decision - Unanimous;1.0
Marina Rodriguez;Jessica Aguilar;Women's Strawweight Bout;Decision - Unanimous;1.0
Josh Emmett;Michael Johnson;Featherweight Bout;KO/TKO;0.5
David Branch;Jack Hermansson;Middleweight Bout;Submission;0.5
Ray Borg;Casey Kenney;Bantamweight Bout;Decision - Unanimous;1.0
Enrique Barzola;Kevin Aguilar;Featherweight Bout;Decision - Unanimous;1.0
Kevin Holland;Gerald Meerschaert;Middleweight Bout;Decision - Split;1.0
Alex Perez;Mark De La Rosa;Bantamweight Bout;Decision - Unanimous;1.0
Sabina Mazo;Maryna Moroz;Women's Flyweight Bout;Decision - Unanimous;1.0
Bryce Mitchell;Bobby Moffett;Featherweight Bout;Decision - Unanimous;1.0
Jussier Formiga;Deiveson Figueiredo;Flyweight Bout;Decision - Unanimous;1.0
Stephen Thompson;Anthony Pettis;Welterweight Bout;KO/TKO;0.5
Marlon Vera;Frankie Saenz;Bantamweight Bout;KO/TKO;0.5
Curtis Blaydes;Justin Willis;Heavyweight Bout;Decision - Unanimous;1.0
John Makdessi;Jesus Pinedo;Lightweight Bout;Decision - Unanimous;1.0
Maycee Barber;JJ Aldrich;Women's Flyweight Bout;KO/TKO;0.5
Luis Pena;Steven Peterson;Featherweight Bout;Decision - Unanimous;1.0
Randa Markos;Angela Hill;Women's Strawweight Bout;Submission;0.5
Eric Shelton;Jordan Espinosa;Flyweight Bout;Decision - Unanimous;1.0
Alexis Davis;Jennifer Maia;Women's Flyweight Bout;Decision - Unanimous;1.0
Ryan MacDonald;Chris Gutierrez;Bantamweight Bout;Decision - Unanimous;1.0
Volkan Oezdemir;Dominick Reyes;Light Heavyweight Bout;Decision - Split;1.0
Jack Marshman;John Phillips;Middleweight Bout;Decision - Split;1.0
Nathaniel Wood;Jose Quinonez;Bantamweight Bout;Submission;0.5
Marc Diakiese;Joe Duffy;Lightweight Bout;Decision - Unanimous;1.0
Arnold Allen;Jordan Rinaldi;Featherweight Bout;Decision - Unanimous;1.0
Danny Roberts;Claudio Silva;Welterweight Bout;Submission;0.5
Darren Till;Jorge Masvidal;Welterweight Bout;KO/TKO;0.5
Leon Edwards;Gunnar Nelson;Welterweight Bout;Decision - Split;1.0
Danny Henry;Dan Ige;Featherweight Bout;Submission;0.5
Molly McCann;Priscila Cachoeira;Women's Flyweight Bout;Decision - Unanimous;1.0
Nicolae Negumereanu;Saparbeg Safarov;Light Heavyweight Bout;Decision - Unanimous;1.0
Mike Grundy;Nad Narimani;Featherweight Bout;KO/TKO;0.5
Blagoy Ivanov;Ben Rothwell;Heavyweight Bout;Decision - Unanimous;1.0
Elizeu Zaleski dos Santos;Curtis Millender;Welterweight Bout;Submission;0.5
Derrick Lewis;Junior Dos Santos;Heavyweight Bout;KO/TKO;0.5
Beneil Dariush;Drew Dober;Lightweight Bout;Submission;0.5
Marion Reneau;Yana Kunitskaya;Women's Bantamweight Bout;Decision - Unanimous;1.0
Tim Boetsch;Omari Akhmedov;Middleweight Bout;Decision - Unanimous;1.0
Anthony Rocco Martin;Sergio Moraes;Welterweight Bout;Decision - Unanimous;1.0
Tim Means;Niko Price;Welterweight Bout;KO/TKO;0.5
Grant Dawson;Julian Erosa;Featherweight Bout;Decision - Unanimous;1.0
Maurice Greene;Jeff Hughes;Heavyweight Bout;Decision - Split;1.0
Alex White;Dan Moret;Lightweight Bout;Decision - Unanimous;1.0
Alex Morono;Zak Ottow;Welterweight Bout;KO/TKO;0.5
Louis Smolka;Matt Schnell;Bantamweight Bout;Submission;0.5
Robbie Lawler;Ben Askren;Welterweight Bout;Submission;0.5
Tecia Torres;Zhang Weili;Women's Strawweight Bout;Decision - Unanimous;1.0
Cody Garbrandt;Pedro Munhoz;Bantamweight Bout;KO/TKO;0.5
Jon Jones;Anthony Smith;UFC Light Heavyweight Title Bout;Decision - Unanimous;1.0
Jeremy Stephens;Zabit Magomedsharipov;Featherweight Bout;Decision - Unanimous;1.0
Tyron Woodley;Kamaru Usman;UFC Welterweight Title Bout;Decision - Unanimous;1.0
Misha Cirkunov;Johnny Walker;Light Heavyweight Bout;KO/TKO;0.5
Cody Stamann;Alejandro Perez;Bantamweight Bout;Decision - Unanimous;1.0
Diego Sanchez;Mickey Gall;Welterweight Bout;KO/TKO;0.5
Gina Mazany;Macy Chiasson;Women's Bantamweight Bout;KO/TKO;0.5
Edmen Shahbazyan;Charles Byrd;Middleweight Bout;KO/TKO;0.5
Polyana Viana;Hannah Cifers;Women's Strawweight Bout;Decision - Split;1.0
Daniel Teymur;Chris Fishgold;Featherweight Bout;Submission;0.5
Dwight Grant;Carlo Pedersoli Jr.;Welterweight Bout;KO/TKO;0.5
Gian Villante;Michal Oleksiejczuk;Light Heavyweight Bout;KO/TKO;0.5
Magomed Ankalaev;Klidson Abreu;Light Heavyweight Bout;Decision - Unanimous;1.0
Liz Carmouche;Lucie Pudilova;Women's Flyweight Bout;Decision - Unanimous;1.0
Jan Blachowicz;Thiago Santos;Light Heavyweight Bout;KO/TKO;0.5
John Dodson;Petr Yan;Bantamweight Bout;Decision - Unanimous;1.0
Stefan Struve;Marcos Rogerio de Lima;Heavyweight Bout;Submission;0.5
Damir Hadzovic;Marco Polo Reyes;Lightweight Bout;KO/TKO;0.5
Veronica Macedo;Gillian Robertson;Women's Flyweight Bout;Submission;0.5
Michel Prazeres;Ismail Naurdiev;Welterweight Bout;Decision - Unanimous;1.0
Damir Ismagulov;Joel Alvarez;Lightweight Bout;Decision - Unanimous;1.0
Rustam Khabilov;Diego Ferreira;Lightweight Bout;Decision - Unanimous;1.0
Jimmie Rivera;Aljamain Sterling;Bantamweight Bout;Decision - Unanimous;1.0
Alex Caceres;Kron Gracie;Featherweight Bout;Submission;0.5
Andre Fili;Myles Jury;Featherweight Bout;Decision - Unanimous;1.0
Cortney Casey;Cynthia Calvillo;Women's Strawweight Bout;Decision - Unanimous;1.0
James Vick;Paul Felder;Lightweight Bout;Decision - Unanimous;1.0
Francis Ngannou;Cain Velasquez;Heavyweight Bout;KO/TKO;0.5
Vicente Luque;Bryan Barberena;Welterweight Bout;KO/TKO;0.5
Benito Lopez;Manny Bermudez;Bantamweight Bout;Submission;0.5
Ashlee Evans-Smith;Andrea Lee;Women's Flyweight Bout;Decision - Unanimous;1.0
Aleksandra Albu;Emily Whitmire;Women's Strawweight Bout;Submission;0.5
Scott Holtzman;Nik Lentz;Lightweight Bout;Decision - Unanimous;1.0
Renan Barao;Luke Sanders;Bantamweight Bout;KO/TKO;0.5
Rani Yahya;Ricky Simon;Bantamweight Bout;Decision - Unanimous;1.0
Shane Young;Austin Arnett;Featherweight Bout;Decision - Unanimous;1.0
Montana De La Rosa;Nadia Kassem;Women's Flyweight Bout;Submission;0.5
Jimmy Crute;Sam Alvey;Light Heavyweight Bout;KO/TKO;0.5
Lando Vannata;Marcos Mariano;Lightweight Bout;Submission;0.5
Devonte Smith;Dong Hyun Ma;Lightweight Bout;KO/TKO;0.5
Israel Adesanya;Anderson Silva;Middleweight Bout;Decision - Unanimous;1.0
Kai Kara-France;Raulian Paiva;Flyweight Bout;Decision - Split;1.0
Callan Potter;Jalin Turner;Lightweight Bout;KO/TKO;0.5
Wuliji Buren;Jonathan Martinez;Bantamweight Bout;Decision - Unanimous;1.0
Teruto Ishihara;Kyung Ho Kang;Bantamweight Bout;Submission;0.5
Demian Maia;Lyman Good;Welterweight Bout;Submission;0.5
Charles Oliveira;David Teymur;Lightweight Bout;Submission;0.5
Raphael Assuncao;Marlon Moraes;Bantamweight Bout;Submission;0.5
Johnny Walker;Justin Ledet;Light Heavyweight Bout;KO/TKO;0.5
Mara Romero Borella;Taila Santos;Women's Flyweight Bout;Decision - Split;1.0
Jose Aldo;Renato Moicano;Featherweight Bout;KO/TKO;0.5
Markus Perez;Anthony Hernandez;Middleweight Bout;Submission;0.5
Livinha Souza;Sarah Frota;Women's Strawweight Bout;Decision - Split;1.0
Junior Albini;Jairzinho Rozenstruik;Heavyweight Bout;KO/TKO;0.5
Thiago Alves;Max Griffin;Welterweight Bout;Decision - Split;1.0
Ricardo Ramos;Said Nurmagomedov;Bantamweight Bout;KO/TKO;0.5
Geraldo de Freitas;Felipe Colares;Featherweight Bout;Decision - Unanimous;1.0
Bibulatov Magomed;Rogerio Bontorin;Flyweight Bout;Decision - Split;1.0
Henry Cejudo;TJ Dillashaw;UFC Flyweight Title Bout;KO/TKO;0.5
Alexander Hernandez;Donald Cerrone;Lightweight Bout;KO/TKO;0.5
Joanne Calderwood;Ariane Lipski;Women's Flyweight Bout;Decision - Unanimous;1.0
Gregor Gillespie;Yancy Medeiros;Lightweight Bout;KO/TKO;0.5
Glover Teixeira;Karl Roberson;Light Heavyweight Bout;Submission;0.5
Joseph Benavidez;Dustin Ortiz;Flyweight Bout;Decision - Unanimous;1.0
Greg Hardy;Allen Crowder;Heavyweight Bout;DQ;2.0
Paige VanZant;Rachael Ostovich;Women's Flyweight Bout;Submission;0.5
Alonzo Menifield;Vinicius Moreira;Light Heavyweight Bout;KO/TKO;0.5
Cory Sandhagen;Mario Bautista;Bantamweight Bout;Submission;0.5
Dennis Bermudez;Te Edwards;Lightweight Bout;Decision - Unanimous;1.0
Kyle Stewart;Chance Rencountre;Welterweight Bout;Submission;0.5
Belal Muhammad;Geoff Neal;Welterweight Bout;Decision - Unanimous;1.0
Douglas Silva de Andrade;Petr Yan;Bantamweight Bout;KO/TKO;0.5
Chad Mendes;Alexander Volkanovski;Featherweight Bout;KO/TKO;0.5
Jon Jones;Alexander Gustafsson;UFC Light Heavyweight Title Bout;KO/TKO;0.5
Cristiane Justino;Amanda Nunes;UFC Women's Featherweight Title Bout;KO/TKO;0.5
Carlos Condit;Michael Chiesa;Welterweight Bout;Submission;0.5
Cat Zingano;Megan Anderson;Women's Featherweight Bout;KO/TKO;0.5
Ilir Latifi;Corey Anderson;Light Heavyweight Bout;Decision - Unanimous;1.0
Andrei Arlovski;Walt Harris;Heavyweight Bout;Overturned;2.0
Nathaniel Wood;Andre Ewell;Bantamweight Bout;Submission;0.5
Uriah Hall;Bevon Lewis;Middleweight Bout;KO/TKO;0.5
BJ Penn;Ryan Hall;Lightweight Bout;Submission;0.5
Curtis Millender;Siyar Bahadurzada;Welterweight Bout;Decision - Unanimous;1.0
Brian Kelleher;Montel Jackson;Bantamweight Bout;Submission;0.5
Zak Ottow;Dwight Grant;Welterweight Bout;Decision - Split;1.0
Jim Miller;Charles Oliveira;Lightweight Bout;Submission;0.5
Kevin Lee;Al Iaquinta;Lightweight Bout;Decision - Unanimous;1.0
Bobby Green;Drakkar Klose;Lightweight Bout;Decision - Unanimous;1.0
Edson Barboza;Dan Hooker;Lightweight Bout;KO/TKO;0.5
Rob Font;Sergio Pettis;Bantamweight Bout;Decision - Unanimous;1.0
Gerald Meerschaert;Jack Hermansson;Middleweight Bout;Submission;0.5
Jared Gordon;Joaquim Silva;Lightweight Bout;KO/TKO;0.5
Trevor Smith;Zak Cummings;Middleweight Bout;Decision - Unanimous;1.0
Dan Ige;Jordan Griffin;Featherweight Bout;Decision - Unanimous;1.0
Adam Milstead;Mike Rodriguez;Light Heavyweight Bout;KO/TKO;0.5
Chris de la Rocha;Juan Adams;Heavyweight Bout;KO/TKO;0.5
Alex Oliveira;Gunnar Nelson;Welterweight Bout;Submission;0.5
Claudia Gadelha;Nina Ansaroff;Women's Strawweight Bout;Decision - Unanimous;1.0
Olivier Aubin-Mercier;Gilbert Burns;Lightweight Bout;Decision - Unanimous;1.0
